Test,Before,After,Percentage
address_inline_tests::address_b256_from,365,350,4.11
address_inline_tests::address_b256_into,362,347,4.14
address_inline_tests::address_bits,352,337,4.26
address_inline_tests::address_eq,488,467,4.30
address_inline_tests::address_from_b256,349,334,4.30
address_inline_tests::address_hash,2196,2124,3.28
address_inline_tests::address_into_b256,377,362,3.98
address_inline_tests::address_is_zero,348,337,3.16
address_inline_tests::address_ne,1092,1044,4.40
address_inline_tests::address_try_from_bytes,2371,2283,3.71
address_inline_tests::address_try_into_bytes,12622,12296,2.58
address_inline_tests::address_zero,127,123,3.15
alloc_inline_tests::alloc_alloc,64111,60046,6.34
alloc_inline_tests::alloc_alloc_bytes,64023,59968,6.33
alloc_inline_tests::alloc_realloc,69413,65187,6.09
alloc_inline_tests::alloc_realloc_bytes,69206,65010,6.06
alloc_inline_tests::revert_alloc_alloc_bytes_does_not_exceed_bounds,84,78,7.14
alloc_inline_tests::revert_alloc_alloc_does_not_exceed_bounds,105,97,7.62
alloc_inline_tests::revert_alloc_realloc_bytes_when_realloc_unallocated_memory,76,74,2.63
alloc_inline_tests::revert_alloc_realloc_when_realloc_unallocated_memory,119,113,5.04
array_conversions_b256_inline_tests::b256_from_be_bytes,1124,991,11.83
array_conversions_b256_inline_tests::b256_from_le_bytes,1124,991,11.83
array_conversions_b256_inline_tests::b256_to_be_bytes,4664,4340,6.95
array_conversions_b256_inline_tests::b256_to_le_bytes,3896,3636,6.67
array_conversions_u16_inline_tests::u16_from_be_bytes,71,66,7.04
array_conversions_u16_inline_tests::u16_from_le_bytes,71,66,7.04
array_conversions_u16_inline_tests::u16_to_be_bytes,111,105,5.41
array_conversions_u16_inline_tests::u16_to_le_bytes,112,106,5.36
array_conversions_u256_inline_tests::u256_from_be_bytes,1124,991,11.83
array_conversions_u256_inline_tests::u256_from_le_bytes,1124,991,11.83
array_conversions_u256_inline_tests::u256_to_be_bytes,4664,4340,6.95
array_conversions_u256_inline_tests::u256_to_le_bytes,3896,3636,6.67
array_conversions_u32_inline_tests::u32_from_be_bytes,99,90,9.09
array_conversions_u32_inline_tests::u32_from_le_bytes,99,90,9.09
array_conversions_u32_inline_tests::u32_to_be_bytes,190,178,6.32
array_conversions_u32_inline_tests::u32_to_le_bytes,190,178,6.32
array_conversions_u64_inline_tests::u64_from_be_bytes,195,178,8.72
array_conversions_u64_inline_tests::u64_from_le_bytes,195,178,8.72
array_conversions_u64_inline_tests::u64_to_be_bytes,373,357,4.29
array_conversions_u64_inline_tests::u64_to_le_bytes,373,349,6.43
assert_inline_tests::assert_assert,185,175,5.41
assert_inline_tests::assert_assert_eq,1373,1333,2.91
assert_inline_tests::assert_assert_ne,1379,1341,2.76
assert_inline_tests::revert_assert_assert_eq,556,539,3.06
assert_inline_tests::revert_assert_assert_ne,532,520,2.26
assert_inline_tests::revert_assert_assert_when_not_true,34,33,2.94
asset_id_contract_tests::asset_id_default,1980,1908,3.64
asset_id_inline_tests::asset_id_b256_from,365,350,4.11
asset_id_inline_tests::asset_id_b256_into,362,347,4.14
asset_id_inline_tests::asset_id_base,100,97,3.00
asset_id_inline_tests::asset_id_bits,347,333,4.03
asset_id_inline_tests::asset_id_default_not_in_contract,58,57,1.72
asset_id_inline_tests::asset_id_eq,486,466,4.12
asset_id_inline_tests::asset_id_from_b256,349,334,4.30
asset_id_inline_tests::asset_id_hasher,1651,1597,3.27
asset_id_inline_tests::asset_id_into_b256,377,362,3.98
asset_id_inline_tests::asset_id_is_zero,348,337,3.16
asset_id_inline_tests::asset_id_ne,957,916,4.28
asset_id_inline_tests::asset_id_new,1588,1532,3.53
asset_id_inline_tests::asset_id_try_from_bytes,2371,2283,3.71
asset_id_inline_tests::asset_id_try_into_bytes,12622,12296,2.58
asset_id_inline_tests::asset_id_zero,127,123,3.15
b512_inline_tests::b512_b256_from,532,520,2.26
b512_inline_tests::b512_b256_into,519,507,2.31
b512_inline_tests::b512_bits,700,682,2.57
b512_inline_tests::b512_eq,697,685,1.72
b512_inline_tests::b512_from_b256,610,592,2.95
b512_inline_tests::b512_into_b256,623,605,2.89
b512_inline_tests::b512_into_bytes,24826,24196,2.54
b512_inline_tests::b512_is_zero,756,741,1.98
b512_inline_tests::b512_ne,1184,1158,2.20
b512_inline_tests::b512_new,196,191,2.55
b512_inline_tests::b512_try_from_bytes,3045,2950,3.12
b512_inline_tests::b512_zero,222,216,2.70
block_inline_tests::block_block_header_hash,191,188,1.57
block_inline_tests::block_height,48,47,2.08
block_inline_tests::block_timestamp,70,68,2.86
block_inline_tests::block_timestamp_of_block,70,68,2.86
block_inline_tests::revert_block_header_hash_err_current_height,127,125,1.57
block_inline_tests::revert_block_header_hash_err_future_height,145,143,1.38
bytes_conversions_b256_inline_tests::b256_from_be_bytes,4267,4063,4.78
bytes_conversions_b256_inline_tests::b256_from_le_bytes,5640,5392,4.40
bytes_conversions_b256_inline_tests::b256_to_be_bytes,6500,6239,4.02
bytes_conversions_b256_inline_tests::b256_to_le_bytes,8306,8011,3.55
bytes_conversions_u16_inline_tests::u16_from_be_bytes,321,309,3.74
bytes_conversions_u16_inline_tests::u16_from_le_bytes,323,311,3.72
bytes_conversions_u16_inline_tests::u16_to_be_bytes,456,445,2.41
bytes_conversions_u16_inline_tests::u16_to_le_bytes,457,446,2.41
bytes_conversions_u256_inline_tests::u256_from_be_bytes,4276,4072,4.77
bytes_conversions_u256_inline_tests::u256_from_le_bytes,5640,5392,4.40
bytes_conversions_u256_inline_tests::u256_to_be_bytes,6508,6247,4.01
bytes_conversions_u256_inline_tests::u256_to_le_bytes,8306,8011,3.55
bytes_conversions_u32_inline_tests::u32_from_be_bytes,454,441,2.86
bytes_conversions_u32_inline_tests::u32_from_le_bytes,454,441,2.86
bytes_conversions_u32_inline_tests::u32_to_be_bytes,696,679,2.44
bytes_conversions_u32_inline_tests::u32_to_le_bytes,696,679,2.44
bytes_conversions_u64_inline_tests::u64_from_be_bytes,693,679,2.02
bytes_conversions_u64_inline_tests::u64_from_le_bytes,693,679,2.02
bytes_conversions_u64_inline_tests::u64_to_be_bytes,1173,1144,2.47
bytes_conversions_u64_inline_tests::u64_to_le_bytes,1173,1144,2.47
bytes_inline_tests::bytes_append,3996,3855,3.53
bytes_inline_tests::bytes_append_empty,1396,1347,3.51
bytes_inline_tests::bytes_append_empty_self,178,171,3.93
bytes_inline_tests::bytes_append_self,2276,2203,3.21
bytes_inline_tests::bytes_append_to_empty,1867,1800,3.59
bytes_inline_tests::bytes_as_raw_slice,822,801,2.55
bytes_inline_tests::bytes_b256_into,2659,2612,1.77
bytes_inline_tests::bytes_b256_try_from,6372,6253,1.87
bytes_inline_tests::bytes_bigger_than_3064,222149,219055,1.39
bytes_inline_tests::bytes_buffer_ownership,1969,1908,3.10
bytes_inline_tests::bytes_capacity,1020,989,3.04
bytes_inline_tests::bytes_clear,796,773,2.89
bytes_inline_tests::bytes_clear_empty_bytes,354,335,5.37
bytes_inline_tests::bytes_clear_twice,1043,1012,2.97
bytes_inline_tests::bytes_clone,1674,1619,3.29
bytes_inline_tests::bytes_eq,1396,1363,2.36
bytes_inline_tests::bytes_for_loop,1838,1773,3.54
bytes_inline_tests::bytes_from_b256,2687,2639,1.79
bytes_inline_tests::bytes_from_raw_slice,505,485,3.96
bytes_inline_tests::bytes_from_vec_u8,1622,1564,3.58
bytes_inline_tests::bytes_get,1667,1613,3.24
bytes_inline_tests::bytes_insert,1519,1469,3.29
bytes_inline_tests::bytes_insert_back,1508,1460,3.18
bytes_inline_tests::bytes_insert_before_back,1527,1477,3.27
bytes_inline_tests::bytes_insert_front,1538,1486,3.38
bytes_inline_tests::bytes_insert_twice,2571,2480,3.54
bytes_inline_tests::bytes_into_raw_slice,831,810,2.53
bytes_inline_tests::bytes_into_vec_u8,1509,1456,3.51
bytes_inline_tests::bytes_is_empty,886,857,3.27
bytes_inline_tests::bytes_iter,1863,1813,2.68
bytes_inline_tests::bytes_len,1174,1143,2.64
bytes_inline_tests::bytes_ne,1447,1411,2.49
bytes_inline_tests::bytes_new,189,179,5.29
bytes_inline_tests::bytes_pop,2936,2859,2.62
bytes_inline_tests::bytes_ptr,1028,989,3.79
bytes_inline_tests::bytes_push,2057,1979,3.79
bytes_inline_tests::bytes_raw_slice_from,827,806,2.54
bytes_inline_tests::bytes_raw_slice_into,511,491,3.91
bytes_inline_tests::bytes_remove,1547,1495,3.36
bytes_inline_tests::bytes_remove_all,1187,1149,3.20
bytes_inline_tests::bytes_remove_end,1224,1186,3.10
bytes_inline_tests::bytes_remove_front,1239,1199,3.23
bytes_inline_tests::bytes_resize,5592,5383,3.74
bytes_inline_tests::bytes_set,1295,1255,3.09
bytes_inline_tests::bytes_set_back,1322,1280,3.18
bytes_inline_tests::bytes_set_front,1295,1255,3.09
bytes_inline_tests::bytes_set_twice,1895,1832,3.32
bytes_inline_tests::bytes_splice,2036,1972,3.14
bytes_inline_tests::bytes_splice_empty_range,1543,1492,3.31
bytes_inline_tests::bytes_splice_end,1569,1517,3.31
bytes_inline_tests::bytes_splice_entire_range,1614,1559,3.41
bytes_inline_tests::bytes_splice_front,1548,1497,3.29
bytes_inline_tests::bytes_splice_replace_empty_bytes,1548,1497,3.29
bytes_inline_tests::bytes_splice_replace_larger,2394,2322,3.01
bytes_inline_tests::bytes_splice_replace_overlap,2105,2040,3.09
bytes_inline_tests::bytes_splice_replace_same_length,2106,2041,3.09
bytes_inline_tests::bytes_splice_replace_smaller,2319,2248,3.06
bytes_inline_tests::bytes_split_at,1793,1732,3.40
bytes_inline_tests::bytes_split_at_end,1663,1603,3.61
bytes_inline_tests::bytes_split_at_front,1641,1583,3.53
bytes_inline_tests::bytes_split_at_twice,1773,1711,3.50
bytes_inline_tests::bytes_swap,1548,1500,3.10
bytes_inline_tests::bytes_swap_end,1240,1204,2.90
bytes_inline_tests::bytes_swap_front,1239,1203,2.91
bytes_inline_tests::bytes_swap_front_with_end,1240,1204,2.90
bytes_inline_tests::bytes_swap_twice,2327,2249,3.35
bytes_inline_tests::bytes_test_packing,1292,1266,2.01
bytes_inline_tests::bytes_test_u8_limits,1726,1676,2.90
bytes_inline_tests::bytes_try_into_b256,6363,6244,1.87
bytes_inline_tests::bytes_vec_u8_from,1449,1399,3.45
bytes_inline_tests::bytes_vec_u8_into,1626,1568,3.57
bytes_inline_tests::bytes_with_capacity,961,921,4.16
bytes_inline_tests::revert_bytes_insert_out_of_bounds,679,664,2.21
bytes_inline_tests::revert_bytes_remove_out_of_bounds,645,631,2.17
bytes_inline_tests::revert_bytes_set_out_of_bounds,648,634,2.16
bytes_inline_tests::revert_bytes_splice_end_out_of_bounds,800,779,2.62
bytes_inline_tests::revert_bytes_splice_start_greater_than_end,727,710,2.34
bytes_inline_tests::revert_bytes_split_at_out_of_bounds,678,662,2.36
bytes_inline_tests::revert_bytes_swap_element_1_out_of_bounds,647,633,2.16
bytes_inline_tests::revert_bytes_swap_element_2_out_of_bounds,671,656,2.24
bytes_inline_tests::test_encode_decode,873,848,2.86
codec_implemented_tests::test_logging,27728,26948,2.81
contract_id_contract_tests::contract_id_this,1937,1863,3.82
contract_id_inline_tests::contract_id_b256_from,365,350,4.11
contract_id_inline_tests::contract_id_b256_into,362,347,4.14
contract_id_inline_tests::contract_id_bits,352,337,4.26
contract_id_inline_tests::contract_id_eq,488,467,4.30
contract_id_inline_tests::contract_id_from_b256,349,334,4.30
contract_id_inline_tests::contract_id_hash,2196,2124,3.28
contract_id_inline_tests::contract_id_into_b256,377,362,3.98
contract_id_inline_tests::contract_id_is_zero,348,337,3.16
contract_id_inline_tests::contract_id_ne,1092,1044,4.40
contract_id_inline_tests::contract_id_try_from_bytes,2371,2283,3.71
contract_id_inline_tests::contract_id_try_into_bytes,12622,12296,2.58
contract_id_inline_tests::contract_id_zero,127,123,3.15
crypto_ed25519_inline_tests::ed25519_bits,2980,2785,6.54
crypto_ed25519_inline_tests::ed25519_codec,3799,3732,1.76
crypto_ed25519_inline_tests::ed25519_eq,795,759,4.53
crypto_ed25519_inline_tests::ed25519_from_b256_tuple,14903,14129,5.19
crypto_ed25519_inline_tests::ed25519_from_b512,15095,14318,5.15
crypto_ed25519_inline_tests::ed25519_hash,647,626,3.25
crypto_ed25519_inline_tests::ed25519_into_b256,706,688,2.55
crypto_ed25519_inline_tests::ed25519_into_b512,1051,1027,2.28
crypto_ed25519_inline_tests::ed25519_into_bytes,24621,24003,2.51
crypto_ed25519_inline_tests::ed25519_new,5442,5121,5.90
crypto_ed25519_inline_tests::ed25519_try_from_bytes,16776,15927,5.06
crypto_ed25519_inline_tests::ed25519__verify,9808,9665,1.46
crypto_message_inline_tests::message_bytes,1035,1001,3.29
crypto_message_inline_tests::message_codec,298,293,1.68
crypto_message_inline_tests::message_eq,4461,4261,4.48
crypto_message_inline_tests::message_from_b256,21466,20567,4.19
crypto_message_inline_tests::message_from_bytes,3154,3052,3.23
crypto_message_inline_tests::message_hash,677,653,3.55
crypto_message_inline_tests::message_new,266,252,5.26
crypto_message_inline_tests::message_try_into_b256,1348,1294,4.01
crypto_point2d_inline_tests::point2d_b256_array_try_from,2043,1968,3.67
crypto_point2d_inline_tests::point2d_b256_tuple_try_from,2001,1926,3.75
crypto_point2d_inline_tests::point2d_codec,519,507,2.31
crypto_point2d_inline_tests::point2d_from_b256_array,3198,3063,4.22
crypto_point2d_inline_tests::point2d_from_b256_tuple,3168,3033,4.26
crypto_point2d_inline_tests::point2d_from_u256_array,3273,3138,4.12
crypto_point2d_inline_tests::point2d_from_u256_tuple,3243,3108,4.16
crypto_point2d_inline_tests::point2d_from_u8_array,14136,13623,3.63
crypto_point2d_inline_tests::point2d_is_zero,4931,4892,0.79
