blanket_impl,40
blanket_impl_u16,40
break_in_strange_positions,520
conditional_compilation/run,40
continue_in_strange_positions,1072
dca/alias_lib,80
dca/alias_type_ascription,32
dca/alias_type_ascription_generic,32
dca/alias_unused,32
dca/allow_dead_code,32
dca/all_paths_return,32
dca/constant_decl_expr,40
dca/constant_struct,40
dca/constant_while,32
dca/contract/abi_fn_params,112
dca/contract/superabi_contract_calls,208
dca/contract/unused_struct_field,72
dca/contract/unused_struct_field_array,96
dca/contract/unused_struct_field_enum,96
dca/contract/unused_struct_field_tuple,72
dca/func_param,32
dca/generic_fn_trait_constraint,32
dca/impl_self,32
dca/impl_self_alias2,32
dca/impl_self_alias,32
dca/impl_trait_multiple,32
dca/impl_trait_single,32
dca/impl_unused_fn,48
dca/library/fn_params_free,24
dca/library/fn_params_impl,24
dca/library/fn_params_trait,24
dca/library/unused_priv_free_fn,24
dca/library/unused_pub_free_fn,24
dca/log_intrinsic,64
dca/log_stdlib,64
dca/multiple_enums_same_name,32
dca/multiple_fns_same_name,32
dca/reassignment_lhs,64
dca/revert,32
dca/struct_field_no_warning,40
dca/trait_method,32
dca/trait_method_lib,24
dca/trait_method_neq,120
dca/unused_enum,32
dca/unused_fields,32
dca/unused_free_fn,32
dca/unused_struct,32
dca/unused_trait,32
dca/unused_variable,32
dca/unused_variable_in_free_fn,32
empty_fields_in_storage_struct,14424
evm/evm_basic,32
forc/contract_dependencies/contract_a,312
forc/contract_dependencies/contract_b,80
forc/contract_dependencies/contract_c,80
forc/dependency_package_field,32
forc/dependency_patching,32
forc/workspace_building,24
language/abort_control_flow_good,40
language/aliased_imports,72
language/arg_demotion_inline,272
language/args_on_stack,1312
language/array_basics,528
language/array_generics,120
language/asm_expr_basic,144
language/asm_without_return,32
language/associated_const_abi,32
language/associated_const_abi_default,32
language/associated_const_abi_multiple,32
language/associated_const_impl,32
language/associated_const_impl_local_same_name,32
language/associated_const_impl_multiple,32
language/associated_const_impl_self,32
language/associated_const_impl_self_order,32
language/associated_const_trait,32
language/associated_const_trait_const,48
language/associated_const_trait_default,40
language/associated_const_trait_impl_method,32
language/associated_const_trait_method,32
language/associated_type_and_associated_const,32
language/associated_type_ascription,32
language/associated_type_container,1112
language/associated_type_container_in_library,1112
language/associated_type_fully_qualified,32
language/associated_type_iterator,1208
language/associated_type_method,32
language/associated_type_parameter,32
language/attributes_warnings,32
language/b256_bad_jumps,32
language/b256_bitwise_ops,6536
language/b256_ops,3528
language/basic_func_decl,48
language/basic_predicate,48
language/binary_and_hex_literals,48
language/binop_intrinsics,40
language/bitwise_not,48
language/blanket_trait,48
language/bool_and_or,64
language/break_and_continue,616
language/break_and_continue_block_ret,40
language/builtin_type_method_call,40
language/callpath_local_shadowing,32
language/chained_if_let,136
language/complex_cfg,432
language/configurable_consts,3744
language/const_decl_and_use_in_library,40
language/const_decl_in_library,64
language/const_decl_literal,40
language/const_decl_with_call_path,240
language/const_inits,1560
language/contract_caller_as_ret,80
language/contract_caller_dynamic_address,128
language/deprecated,24
language/diagnose_unknown_annotations,112
language/diverging_exprs,856
language/doc_comments,72
language/dummy_method_issue,176
language/empty_method_initializer,712
language/enum_destructuring,96
language/enum_if_let,456
language/enum_if_let_large_type,408
language/enum_in_fn_decl,120
language/enum_init_fn_call,280
language/enum_instantiation,3464
language/enum_padding,96
language/enum_type_inference,40
