blanket_impl,264
blanket_impl_u16,264
break_in_strange_positions,736
conditional_compilation/run,264
continue_in_strange_positions,1296
dca/alias_lib,216
dca/alias_type_ascription,168
dca/alias_type_ascription_generic,168
dca/alias_unused,168
dca/allow_dead_code,168
dca/all_paths_return,256
dca/constant_decl_expr,264
dca/constant_struct,264
dca/constant_while,168
dca/contract/abi_fn_params,1392
dca/contract/superabi_contract_calls,1832
dca/contract/unused_struct_field,1168
dca/contract/unused_struct_field_array,1248
dca/contract/unused_struct_field_enum,1424
dca/contract/unused_struct_field_tuple,1168
dca/func_param,168
dca/generic_fn_trait_constraint,168
dca/impl_self,168
dca/impl_self_alias,168
dca/impl_self_alias2,168
dca/impl_trait_multiple,256
dca/impl_trait_single,256
dca/impl_unused_fn,272
dca/library/fn_params_free,24
dca/library/fn_params_impl,24
dca/library/fn_params_trait,24
dca/library/unused_priv_free_fn,24
dca/library/unused_pub_free_fn,24
dca/log_intrinsic,736
dca/log_stdlib,736
dca/multiple_enums_same_name,168
dca/multiple_fns_same_name,168
dca/reassignment_lhs,192
dca/revert,32
dca/struct_field_no_warning,280
dca/trait_method,168
dca/trait_method_lib,24
dca/trait_method_neq,344
dca/unused_enum,168
dca/unused_fields,256
dca/unused_free_fn,168
dca/unused_struct,168
dca/unused_trait,168
dca/unused_variable,168
dca/unused_variable_in_free_fn,168
empty_fields_in_storage_struct,30032
evm/evm_basic,168
forc/contract_dependencies/contract_a,1064
forc/contract_dependencies/contract_b,920
forc/contract_dependencies/contract_c,920
forc/dependency_package_field,256
forc/dependency_patching,256
forc/workspace_building,24
language/abort_control_flow_good,40
language/aliased_imports,296
language/arg_demotion_inline,1112
language/args_on_stack,1536
language/array_basics,720
language/array_generics,336
language/asm_expr_basic,384
language/asm_without_return,168
language/associated_const_abi,280
language/associated_const_abi_default,280
language/associated_const_abi_multiple,280
language/associated_const_impl,280
language/associated_const_impl_local_same_name,280
language/associated_const_impl_multiple,280
language/associated_const_impl_self,280
language/associated_const_impl_self_order,280
language/associated_const_trait,280
language/associated_const_trait_const,264
language/associated_const_trait_default,280
language/associated_const_trait_impl_method,280
language/associated_const_trait_method,280
language/associated_type_and_associated_const,280
language/associated_type_ascription,280
language/associated_type_container,1832
language/associated_type_container_in_library,1832
language/associated_type_fully_qualified,536
language/associated_type_iterator,1920
language/associated_type_method,280
language/associated_type_parameter,280
language/attributes_warnings,168
language/b256_bad_jumps,256
language/b256_bitwise_ops,6752
language/b256_ops,3720
language/basic_func_decl,264
language/basic_predicate,48
language/binary_and_hex_literals,264
language/binop_intrinsics,264
language/bitwise_not,264
language/blanket_trait,264
language/bool_and_or,288
language/break_and_continue,840
language/break_and_continue_block_ret,40
language/builtin_type_method_call,264
language/callpath_local_shadowing,168
language/chained_if_let,352
language/complex_cfg,896
language/configurable_consts,7232
language/const_decl_and_use_in_library,264
language/const_decl_in_library,288
language/const_decl_literal,264
language/const_decl_with_call_path,464
language/const_inits,1784
language/contract_caller_as_ret,920
