blanket_impl,352
blanket_impl_u16,352
break_in_strange_positions,832
conditional_compilation/run,352
continue_in_strange_positions,1392
dca/alias_lib,272
dca/alias_type_ascription,224
dca/alias_type_ascription_generic,224
dca/alias_unused,224
dca/allow_dead_code,224
dca/all_paths_return,344
dca/constant_decl_expr,352
dca/constant_struct,352
dca/constant_while,224
dca/contract/abi_fn_params,1312
dca/contract/superabi_contract_calls,2088
dca/contract/unused_struct_field,1384
dca/contract/unused_struct_field_array,1456
dca/contract/unused_struct_field_enum,1672
dca/contract/unused_struct_field_tuple,1384
dca/func_param,224
dca/generic_fn_trait_constraint,224
dca/impl_self,224
dca/impl_self_alias2,224
dca/impl_self_alias,224
dca/impl_trait_multiple,344
dca/impl_trait_single,344
dca/impl_unused_fn,368
dca/library/fn_params_free,24
dca/library/fn_params_impl,24
dca/library/fn_params_trait,24
dca/library/unused_priv_free_fn,24
dca/library/unused_pub_free_fn,24
dca/log_intrinsic,824
dca/log_stdlib,824
dca/multiple_enums_same_name,224
dca/multiple_fns_same_name,224
dca/reassignment_lhs,256
dca/revert,344
dca/struct_field_no_warning,464
dca/trait_method,224
dca/trait_method_lib,24
dca/trait_method_neq,424
dca/unused_enum,224
dca/unused_fields,344
dca/unused_free_fn,224
dca/unused_struct,224
dca/unused_trait,224
dca/unused_variable,224
dca/unused_variable_in_free_fn,224
empty_fields_in_storage_struct,28456
evm/evm_basic,224
forc/contract_dependencies/contract_a,944
forc/contract_dependencies/contract_b,1176
forc/contract_dependencies/contract_c,1176
forc/dependency_package_field,344
forc/dependency_patching,344
forc/workspace_building,24
language/abort_control_flow_good,328
language/aliased_imports,368
language/arg_demotion_inline,1376
language/args_on_stack,1832
language/array_basics,808
language/array_generics,416
language/asm_expr_basic,480
language/asm_without_return,328
language/associated_const_abi,2808
language/associated_const_abi_multiple,2112
language/associated_const_impl,368
language/associated_const_impl_local_same_name,368
language/associated_const_impl_multiple,936
language/associated_const_impl_self,368
language/associated_const_trait,632
language/associated_const_trait_default,944
language/associated_const_trait_impl_method,368
language/associated_const_trait_method,368
language/associated_type_and_associated_const,368
language/associated_type_ascription,368
language/associated_type_container,1904
language/associated_type_container_in_library,1904
language/associated_type_fully_qualified,632
language/associated_type_iterator,1992
language/associated_type_method,368
language/associated_type_parameter,368
language/attributes_warnings,224
language/b256_bad_jumps,344
language/b256_bitwise_ops,6824
language/b256_ops,3832
language/basic_func_decl,336
language/basic_predicate,88
language/binary_and_hex_literals,336
language/binop_intrinsics,352
language/bitwise_not,336
language/blanket_trait,336
language/bool_and_or,368
language/break_and_continue,912
language/break_and_continue_block_ret,200
language/builtin_type_method_call,352
language/callpath_local_shadowing,224
language/chained_if_let,448
language/complex_cfg,1072
language/configurable_consts,7272
language/const_decl_and_use_in_library,352
language/const_decl_in_library,360
language/const_inits,1880
language/contract_caller_as_ret,1176
language/contract_caller_dynamic_address,1968
language/contract_implements_multiple_abis_with_same_methods,2088
language/deprecated,24
language/deprecated_attribute,208
language/diagnose_unknown_annotations,1536
language/diverging_exprs,1144
language/doc_comments,1184
language/dummy_method_issue,488
language/duplicated_storage_keys,208
language/empty_method_initializer,1016
language/enum_destructuring,408
language/enum_if_let,760
language/enum_if_let_large_type,712
language/enum_in_fn_decl,424
language/enum_init_fn_call,600
language/enum_instantiation,3720
language/enum_padding,1832
language/enum_type_inference,352
language/enum_variant_imports,464
language/eq_and_neq,2088
language/eq_intrinsic,352
language/fallback_only,1832
language/far_jumps/many_blobs,11640552
language/far_jumps/single_blob,1048952
language/fix_opcode_bug,352
language/for_loops,4488
language/fqp_in_lib,336
language/funcs_with_generic_types,336
language/generic_functions,336
language/generic_impl_self,2616
language/generic_impl_self_where,2392
language/generic_inside_generic,440
language/generic_result_method,688
language/generics_in_contract,3480
language/generic_struct,352
language/generic_struct_instantiation,344
language/generic_structs,608
language/generic_trait_constraints,1096
language/generic_traits,1336
language/generic_transpose,928
language/generic_tuple_trait,848
language/generic_type_inference,3408
language/generic_where_in_impl_self2,520
language/generic_where_in_impl_self,520
language/gtf_intrinsic,672
language/if_elseif_enum,776
language/if_implicit_unit,224
language/if_let_no_side_effects,440
language/implicit_casting,352
language/implicit_return,352
language/impl_self_method,368
language/impl_self_method_order,368
language/import_method_from_other_file,720
language/import_star_name_clash,2416
language/import_trailing_comma,352
language/import_with_different_callpaths,2704
language/impure_ifs,1136
language/inline_if_expr_const,224
language/insert_element_reg_reuse,2504
language/integer_type_inference,1536
language/is_prime,1136
language/is_reference_type,336
language/largeint_sroa,832
language/left_to_right_func_args_evaluation,368
language/local_impl_for_ord,336
language/logging,3648
language/main_args/main_args_empty,352
language/main_args/main_args_generics,1224
language/main_args/main_args_one_u64,424
language/main_args/main_args_ref,456
language/main_args/main_args_ref_copy,560
language/main_args/main_args_ref_ref,608
language/main_args/main_args_two_u64,536
language/main_args/main_args_various_types,2488
language/main_returns_unit,224
language/many_stack_variables,968
language/match_expressions_all,2296
language/match_expressions_constants,2232
language/match_expressions_empty_enums,352
language/match_expressions_enums,3352
language/match_expressions_explicit_rets,336
language/match_expressions_inside_generic_functions,544
language/match_expressions_mismatched,400
language/match_expressions_nested,1728
language/match_expressions_or,9208
language/match_expressions_rest,1752
language/match_expressions_simple,432
language/match_expressions_structs,432
language/match_expressions_unreachable_catch_all_last_arm,2232
language/match_expressions_unreachable_catch_all_middle_arm,2040
language/match_expressions_unreachable_last_arm,2936
language/match_expressions_unreachable_middle_arm,3336
language/match_expressions_with_self,488
language/mega_example,10144
language/memcpy,496
language/method_indirect_inference,616
language/method_on_empty_struct,344
language/method_type_args,224
language/method_unambiguous,584
language/module_dep,24
language/module_dep_multiple,24
language/module_dep_self,24
language/modulo_uint_test,336
language/multi_impl_self,352
language/multi_item_import,336
language/mutable_and_initd,448
language/mutable_arrays,352
language/mutable_arrays_enum,408
language/mutable_arrays_multiple_nested,344
language/mutable_arrays_nested,344
language/mutable_arrays_struct,352
language/mutable_arrays_swap,352
language/mut_ref_empty_type,776
language/name_resolution_after_monomorphization,368
language/nested_struct_destructuring,344
language/nested_structs,1120
language/nested_while_and_if,432
language/new_allocator_test,808
language/non_literal_const_decl,352
language/numeric_constants,2512
language/op_precedence,336
language/ops,440
language/out_of_order_decl,344
language/predicate_while,120
language/predicate_while_dep,120
language/prelude_access2,224
language/prelude_access,224
language/primitive_type_argument,352
language/raw_identifiers,464
language/reassignment_operators,344
language/reassignment_rhs_lhs_evaluation_order,928
language/redundant_return,344
language/reexport/multiple_imports_of_same_reexport,1808
language/reexport/reexport_paths,792
language/reexport/reexport_paths_external_lib,24
language/reexport/shadowing_in_reexporting_module,1800
language/reexport/simple_glob_import,1072
language/reexport/simple_item_import,1072
language/reexport/visibility,1072
language/references/dereferencing_control_flow_expressions,1224
language/references/dereferencing_operator_dot_on_structs,125272
language/references/dereferencing_operator_dot_on_tuples,125272
language/references/dereferencing_operator_index,92344
language/references/dereferencing_operator_star,151536
language/references/impl_reference_types,7776
language/references/mutability_of_references,968
language/references/passing_and_returning_references_to_and_from_functions,15944
language/references/reassigning_via_references_in_aggregates,5024
language/references/reassigning_via_references_passed_and_returned_to_and_from_functions,39184
language/references/reassigning_via_references_to_expressions,37064
language/references/reassigning_via_references_to_values,13936
language/references/references_and_generics,3624
language/references/references_and_type_aliases,784
language/references/references_in_aggregates,3928
language/references/references_in_asm_blocks,2216
language/references/referencing_control_flow_expressions,856
language/references/referencing_expressions,7856
language/references/referencing_function_parameters,3968
language/references/referencing_local_vars_and_values,36408
language/references/referencing_parts_of_aggregates,6648
language/references/referencing_references,1160
language/references/type_unification_of_references,3488
language/ref_mutable_arrays,352
language/ref_mutable_arrays_inline,352
language/ref_mutable_fn_args_bool,336
language/ref_mutable_fn_args_call,352
language/ref_mutable_fn_args_struct,352
language/ref_mutable_fn_args_struct_assign,352
language/ref_mutable_fn_args_u32,368
language/retd_b256,488
language/retd_small_array,480
language/retd_struct,880
language/retd_zero_len_array,232
language/ret_small_string,424
language/ret_string_in_struct,464
language/revert_in_first_if_branch,208
language/same_const_name,288
language/same_const_name_lib,24
language/self_impl_reassignment,952
language/shadowing/shadowed_glob_imports,472
language/size_of,344
language/slice/slice_contract,4064
language/slice/slice_script,584
language/smo,2032
language/smo_opcode,424
language/string_slice/string_slice_contract,3712
language/string_slice/string_slice_features,432
language/string_slice/string_slice_script,640
language/struct_destructuring,456
language/struct_field_access,352
language/struct_field_reassignment,344
language/struct_init_reorder,320
language/struct_instantiation,2216
language/supertraits,6072
language/supertraits_with_trait_methods,416
language/test_attribute,24
language/test_multiple_attributes,24
language/trait_import_with_star,224
language/trait_method_ascription_disambiguate,456
language/trait_method_generic_qualified,456
language/trait_method_qualified,336
language/trait_nested,960
language/tuple_access,472
language/tuple_desugaring,400
language/tuple_field_reassignment,456
language/tuple_indexing,368
language/tuple_in_struct,672
language/tuple_single_element,384
language/tuple_trait,424
language/tuple_types,368
language/type_alias,3856
language/typeinfo_custom_callpath2,264
language/typeinfo_custom_callpath,264
language/typeinfo_custom_callpath_with_import,280
language/u256/u256_abi,784
language/u256/u256_operators,5712
language/unary_not_basic_2,336
language/unary_not_basic,336
language/unit_type_variants,728
language/use_absolute_path,344
language/use_full_path_names,368
language/valid_impurity,1120
language/where_clause_enums,768
language/where_clause_functions,1992
language/where_clause_generic_traits,872
language/where_clause_generic_tuple,352
language/where_clause_impls,600
language/where_clause_methods,2048
language/where_clause_structs,616
language/where_clause_traits,336
language/while_loops,600
language/zero_field_types,352
multiple_supertraits_for_abis,1104
non_payable_implicit_zero_coins,2128
non_payable_zero_coins_let_binding,2128
payable_non_zero_coins,1816
resolve_local_items_that_shadow_imports,368
return_in_strange_positions,352
return_into,1000
static_analysis/cei_pattern_violation,2752
static_analysis/cei_pattern_violation_in_asm_block,2304
static_analysis/cei_pattern_violation_in_asm_block_bal,2264
static_analysis/cei_pattern_violation_in_asm_block_mint_burn,2840
static_analysis/cei_pattern_violation_in_asm_block_read,2640
static_analysis/cei_pattern_violation_in_asm_block_smo,2288
static_analysis/cei_pattern_violation_in_asm_block_tr,3536
static_analysis/cei_pattern_violation_in_asm_block_tro,3536
static_analysis/cei_pattern_violation_in_codeblocks_other_than_in_functions,2952
static_analysis/cei_pattern_violation_in_func_app-1,2936
static_analysis/cei_pattern_violation_in_func_app-2,2936
static_analysis/cei_pattern_violation_in_func_app-3,2936
static_analysis/cei_pattern_violation_in_if_statement-1,2968
static_analysis/cei_pattern_violation_in_if_statement-2,2936
static_analysis/cei_pattern_violation_in_intrinsic_call,2936
static_analysis/cei_pattern_violation_in_match_statement-1,3360
static_analysis/cei_pattern_violation_in_standalone_function,2752
static_analysis/cei_pattern_violation_in_struct,2968
static_analysis/cei_pattern_violation_in_tuple,2968
static_analysis/cei_pattern_violation_in_while_loop-1,2928
static_analysis/cei_pattern_violation_in_while_loop-2,2928
static_analysis/cei_pattern_violation_in_while_loop-3,2928
static_analysis/cei_pattern_violation_in_while_loop-4,2928
static_analysis/cei_pattern_violation_more_complex_logic,16712
static_analysis/cei_pattern_violation_smo_intrinsic,2368
static_analysis/cei_pattern_violation_storage_map_and_vec,8384
static_analysis/cei_pattern_violation_storage_struct_read,2968
static_analysis/cei_pattern_violation_storage_var_read,3232
static_analysis/cei_pattern_violation_storage_var_update,2824
static_analysis/storage_annotations_unused_read,1176
static_analysis/storage_annotations_unused_read_and_write,1176
static_analysis/storage_annotations_unused_write,1176
stdlib/address_test,4216
stdlib/alloc_test,872
stdlib/assert_eq,6144
stdlib/assert_eq_revert,728
stdlib/assert_ne,5800
stdlib/assert_ne_revert,720
stdlib/assert_test,336
stdlib/b512_struct_alignment,808
stdlib/b512_test,3400
stdlib/block_height,384
stdlib/chess,1632
stdlib/contract_id_test,672
stdlib/contract_id_type,664
stdlib/eq_custom_type,744
stdlib/eq_generic,224
stdlib/generic_empty_struct_with_constraint,224
stdlib/ge_test,616
stdlib/identity_eq,2496
stdlib/if_type_revert,320
stdlib/intrinsics,336
stdlib/iterator,2576
stdlib/option,22872
stdlib/option_eq,12240
stdlib/raw_ptr,4536
stdlib/raw_slice,1112
stdlib/require,1192
stdlib/result,8928
stdlib/sha256,2248
stdlib/storage_vec_insert,8552
stdlib/u128_div_test,2768
stdlib/u128_log_test,4576
stdlib/u128_mul_test,1504
stdlib/u128_root_test,4376
stdlib/u128_test,6504
stdlib/vec,107504
stdlib/vec_byte_remove,1976
stdlib/vec_swap,23872
storage_into,1800
superabi,944
superabi_diamond,1208
superabi_diamond_impl,1208
superabi_supertrait_same_methods,4264
supertraits_for_abis,1048
supertraits_for_abis_diamond,1112
supertraits_for_abis_ownable,7576
test_abis/abi_impl_methods_in_json_abi,944
test_contracts/abi_with_generic_types,4920
test_contracts/abi_with_same_name_types,1544
test_contracts/abi_with_tuples_contract,2632
test_contracts/array_of_structs_contract,3856
test_contracts/auth_testing_contract,1184
test_contracts/balance_test_contract,1184
test_contracts/basic_storage,34328
test_contracts/context_testing_contract,4544
test_contracts/contract_with_type_aliases,4400
test_contracts/increment_contract,4024
test_contracts/issue_1512_repro,2616
test_contracts/multiple_impl,1008
test_contracts/nested_struct_args_contract,1496
test_contracts/return_struct,3616
test_contracts/storage_access_contract,32128
test_contracts/storage_enum_contract,18304
test_contracts/storage_namespace,32656
test_contracts/test_fuel_coin_contract,2696
unit_tests/aggr_indexing,7520
unit_tests/contract-multi-contract-calls,1584
unit_tests/contract_with_nested_libs,2352
unit_tests/lib_multi_test,728
unit_tests/lib_single_test,88
unit_tests/log_decode,888
unit_tests/predicate_multi_test,288
unit_tests/predicate_with_nested_libs,648
unit_tests/regalloc_spill,728
unit_tests/script-contract-calls,1584
unit_tests/script_multi_test,920
unit_tests/script_with_nested_libs,1528
unit_tests/should_revert,160
unit_tests/stack_indexing_overflow,5080
unit_tests/workspace_test,920
