blanket_impl,384
blanket_impl_u16,384
break_in_strange_positions,784
conditional_compilation/run,384
continue_in_strange_positions,1296
dca/alias_lib,272
dca/alias_type_ascription,232
dca/alias_type_ascription_generic,232
dca/alias_unused,232
dca/allow_dead_code,232
dca/all_paths_return,376
dca/constant_decl_expr,384
dca/constant_struct,384
dca/constant_while,232
dca/contract/abi_fn_params,1296
dca/contract/superabi_contract_calls,2208
dca/contract/unused_struct_field,1368
dca/contract/unused_struct_field_array,1440
dca/contract/unused_struct_field_enum,1640
dca/contract/unused_struct_field_tuple,1368
dca/func_param,232
dca/generic_fn_trait_constraint,232
dca/impl_self,232
dca/impl_self_alias2,232
dca/impl_self_alias,232
dca/impl_trait_multiple,376
dca/impl_trait_single,376
dca/impl_unused_fn,400
dca/library/fn_params_free,32
dca/library/fn_params_impl,32
dca/library/fn_params_trait,32
dca/library/unused_priv_free_fn,32
dca/library/unused_pub_free_fn,32
dca/log_intrinsic,952
dca/log_stdlib,952
dca/multiple_enums_same_name,232
dca/multiple_fns_same_name,232
dca/reassignment_lhs,280
dca/revert,368
dca/struct_field_no_warning,480
dca/trait_method,232
dca/trait_method_lib,32
dca/trait_method_neq,448
dca/unused_enum,232
dca/unused_fields,376
dca/unused_free_fn,232
dca/unused_struct,232
dca/unused_trait,232
dca/unused_variable,232
dca/unused_variable_in_free_fn,232
empty_fields_in_storage_struct,28056
evm/evm_basic,232
forc/contract_dependencies/contract_a,912
forc/contract_dependencies/contract_b,1176
forc/contract_dependencies/contract_c,1176
forc/dependency_package_field,376
forc/dependency_patching,376
forc/parent_pkg_manifest/contract_a,1176
forc/workspace_building,32
language/abi_cast_nested_method,2672
language/abort_control_flow_good,360
language/aliased_imports,400
language/arg_demotion_inline,1392
language/args_on_stack,84144
language/array_basics,872
language/array_generics,448
language/asm_empty_block,32
language/asm_expr_basic,520
language/asm_uninitialized_register_shadows_item,456
language/asm_without_return,32
language/asm_wqxx_instructions,2536
language/associated_const_abi,6400
language/associated_const_abi_multiple,4672
language/associated_const_impl,392
language/associated_const_impl_local_same_name,392
language/associated_const_impl_multiple,960
language/associated_const_impl_self,400
language/associated_const_in_decls_of_other_constants,4120
language/associated_const_trait,648
language/associated_const_trait_default,968
language/associated_const_trait_impl_method,392
language/associated_const_trait_method,392
language/associated_type_and_associated_const,392
language/associated_type_ascription,392
language/associated_type_container,1984
language/associated_type_container_in_library,1984
language/associated_type_fully_qualified,672
language/associated_type_iterator,2104
language/associated_type_method,392
language/associated_type_parameter,392
language/attributes_warnings,232
language/b256_bad_jumps,376
language/b256_bitwise_ops,6192
language/b256_ops,3728
language/basic_func_decl,368
language/basic_predicate,96
language/binary_and_hex_literals,368
language/binop_intrinsics,384
language/bitwise_not,368
language/blanket_trait,368
language/bool_and_or,400
language/break_and_continue,944
language/break_and_continue_block_ret,216
language/builtin_type_method_call,384
language/callpath_local_shadowing,232
language/chained_if_let,496
language/complex_cfg,1152
language/configurable_consts,7120
language/configurable_tests,8624
language/const_decl_and_use_in_library,384
language/const_decl_in_library,392
language/const_indexing_aggregates_asmgen,816
language/const_inits,1920
language/contract_caller_as_ret,1176
language/contract_caller_dynamic_address,2104
language/contract_calls_unwrapped_contract_id,2144
language/contract_ret_intrinsic,4560
language/deprecated,32
language/diagnose_unknown_annotations,1496
language/diverging_exprs,960
language/doc_comments,1184
language/dummy_method_issue,536
language/duplicated_storage_keys,216
language/duplicated_storage_keys,216
language/empty_method_initializer,1000
language/enum_destructuring,448
language/enum_if_let,784
language/enum_if_let_large_type,768
language/enum_in_fn_decl,448
language/enum_init_fn_call,672
language/enum_instantiation,3840
language/enum_padding,1840
language/enum_type_inference,384
language/enum_variant_imports,512
language/eq_and_neq,2024
language/eq_intrinsic,384
language/fallback_only,1840
language/far_jumps/many_blobs,11640584
language/far_jumps/single_blob,1048984
language/fix_opcode_bug,384
language/for_loops,4936
language/fqp_in_lib,352
language/funcs_with_generic_types,368
language/function_return_type_unification,400
language/generic_functions,368
language/generic_impl_self,3384
language/generic_impl_self_where,2560
language/generic_inside_generic,496
language/generic_result_method,712
language/generics_in_contract,3320
language/generic_struct,384
language/generic_struct_instantiation,376
language/generic_structs,648
language/generic_trait_constraints,1192
language/generic_traits,1424
language/generic_transpose,976
language/generic_tuple_trait,896
language/generic_type_inference,3752
language/generic_where_in_impl_self2,544
language/generic_where_in_impl_self,544
language/gtf_intrinsic,1560
language/if_elseif_enum,784
language/if_implicit_unit,232
